iteration,function operation,time elapsed
237,Update progress bar,0.0011091232299804688
238,Resize dataset,7.581710815429688e-05
238,Append arrays,0.15972661972045898
238,Update progress bar,0.0011620521545410156
239,Resize dataset,7.152557373046875e-05
239,Append arrays,0.11048197746276855
239,Update progress bar,0.0008757114410400391
240,Resize dataset,8.034706115722656e-05
240,Append arrays,0.16002869606018066
240,Update progress bar,0.0006661415100097656
241,Resize dataset,7.534027099609375e-05
241,Append arrays,0.09775352478027344
241,Update progress bar,0.0007901191711425781
242,Resize dataset,7.224082946777344e-05
242,Append arrays,0.10885930061340332
242,Update progress bar,0.0006422996520996094
243,Resize dataset,8.058547973632812e-05
243,Append arrays,0.1323385238647461
243,Update progress bar,0.0010519027709960938
244,Resize dataset,7.319450378417969e-05
244,Append arrays,0.11385345458984375
244,Update progress bar,0.0006532669067382812
245,Resize dataset,8.821487426757812e-05
245,Append arrays,0.11633133888244629
245,Update progress bar,0.0008425712585449219
246,Resize dataset,7.987022399902344e-05
246,Append arrays,0.11186099052429199
246,Update progress bar,0.0006897449493408203
247,Resize dataset,7.724761962890625e-05
247,Append arrays,0.1339426040649414
247,Update progress bar,0.0018389225006103516
248,Resize dataset,0.00024890899658203125
248,Append arrays,0.2794044017791748
248,Update progress bar,0.0014042854309082031
249,Resize dataset,8.249282836914062e-05
249,Append arrays,0.15465116500854492
